san_pham_id,ten,mo_ta,gia,anh,con_hang,thuong_hieu
279076815,Điện thoại Xiaomi Poco M7 (6GB/128GB) - Hàng chính hãng,Điện thoại Xiaomi Poco M7 (6GB/128GB) - Hàng chính hãng,4290000,https://salt.tikicdn.com/cache/280x280/ts/product/b3/91/73/2d36472ef2460e88d03e41c232a7f508.jpg,,Xiaomi
279076808,Điện Thoại Xiaomi Redmi Note 15 Pro 12GB/256GB - Hàng Chính Hãng,Điện Thoại Xiaomi Redmi Note 15 Pro 12GB/256GB - Hàng Chính Hãng,8049000,https://salt.tikicdn.com/cache/280x280/ts/product/d0/73/15/cd7051b1340cbc16bd946586e6ba5cd0.jpg,,Xiaomi
279075907,Điện Thoại Oppo Reno15 F 5G 8GB/256GB - Hàng Chính Hãng,Điện Thoại Oppo Reno15 F 5G 8GB/256GB - Hàng Chính Hãng,10779000,https://salt.tikicdn.com/cache/280x280/ts/product/99/28/80/8050d519015a0b04a4f1a232629752f4.jpg,,OPPO
278994141,"Máy tính bảng Xiaomi Redmi Pad 2 11"" Wifi (4GB/128GB) - Hàng chính hãng","Máy tính bảng Xiaomi Redmi Pad 2 11"" Wifi (4GB/128GB) - Hàng chính hãng",4949000,https://salt.tikicdn.com/cache/280x280/ts/product/6c/58/06/f21ea41c3722ecb2f9e3d8935295eebf.png,,Xiaomi
278903685,Máy tính bảng Xiaomi Redmi Pad SE 8.7 Wifi (4GB/128GB) - Hàng chính hãng,Máy tính bảng Xiaomi Redmi Pad SE 8.7 Wifi (4GB/128GB) - Hàng chính hãng,3579000,https://salt.tikicdn.com/cache/280x280/ts/product/75/b4/ab/491751229e9e2253f65d7fd25859b5c8.jpg,,Xiaomi
278901925,Máy tính bảng iPad Pro M5 13 inch WiFi,Máy tính bảng iPad Pro M5 13 inch WiFi,37500000,https://salt.tikicdn.com/cache/280x280/ts/product/1c/6f/3f/82a42043cf1b5465ace9b2311a2f085e.jpeg,,Apple
278843825,Điện Thoại Xiaomi Redmi 15 6GB/128GB - Hàng Chính Hãng,Điện Thoại Xiaomi Redmi 15 6GB/128GB - Hàng Chính Hãng,4389000,https://salt.tikicdn.com/cache/280x280/ts/product/f8/8d/9a/dd8bc59ca47aa8c833b463b4903c8a02.jpg,,Xiaomi
278834233,Điện Thoại Xiaomi Redmi Note 14 8GB/256GB - Hàng Chính Hãng,Điện Thoại Xiaomi Redmi Note 14 8GB/256GB - Hàng Chính Hãng,5399000,https://salt.tikicdn.com/cache/280x280/ts/product/e9/57/7c/9fd1a6e6b53d76046da7443a04ebbd3b.jpg,,Xiaomi
278814651,Điện thoại Xiaomi Redmi 15C (6GB/128GB) - Hàng chính hãng,Điện thoại Xiaomi Redmi 15C (6GB/128GB) - Hàng chính hãng,3990000,https://salt.tikicdn.com/cache/280x280/ts/product/0f/8c/48/67b4b71cea051057657c335f0f395fed.jpg,,Xiaomi
278730376,Máy tính bảng Samsung Galaxy Tab A11 Wifi (4GB/64GB) - Hàng chính hãng,Máy tính bảng Samsung Galaxy Tab A11 Wifi (4GB/64GB) - Hàng chính hãng,3349000,https://salt.tikicdn.com/cache/280x280/ts/product/75/c2/d4/bccec48a91c3dd9b9427be0ca06a51e8.jpg,,Samsung
278672823,Điện thoại Samsung Galaxy A17 LTE (8GB/128GB) - Hàng chính hãng,Điện thoại Samsung Galaxy A17 LTE (8GB/128GB) - Hàng chính hãng,5390000,https://salt.tikicdn.com/cache/280x280/ts/product/44/ec/21/c45b37684edd4de4e6d486ab5b97662e.jpg,,Samsung
278665998,Điện Thoại Xiaomi Redmi 15 8GB/128GB - Hàng Chính Hãng,Điện Thoại Xiaomi Redmi 15 8GB/128GB - Hàng Chính Hãng,4539000,https://salt.tikicdn.com/cache/280x280/ts/product/19/61/5b/a6a896666e277d87fb7241d646b35589.jpg,,Xiaomi
