ten_san_pham,thuong_hieu,gia,anh,link
Xiaomi Redmi Note 15 Pro+ 5G 12GB/256GB,Xiaomi,11.990.000₫,https://cdn.tgdd.vn/Products/Images/42/360309/xiaomi-redmi-note-15-pro-plus-5g-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-15-pro-plus-5g-12gb-256gb
OPPO A6 Pro 5G 8GB/256GB,OPPO,9.490.000₫,https://cdn.tgdd.vn/Products/Images/42/343124/oppo-a6-pro-5g-blue-thumbai-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-a6-pro-5g-8gb-256gb
vivo V60 5G 12GB/256GB,vivo,14.590.000₫,https://cdn.tgdd.vn/Products/Images/42/341625/vivo-v60-5g-xam-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-v60-12gb-256gb?utm_flashsale=1
realme C71 6GB/128GB,realme,4.210.000₫,https://cdn.tgdd.vn/Products/Images/42/337742/realme-c71-den-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/realme-c71-6gb
HONOR X9c Smart 5G 12GB/256GB,HONOR,6.450.000₫,https://cdn.tgdd.vn/Products/Images/42/333480/honor-x9c-smart-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/honor-x9c-smart
Samsung Galaxy A06 5G 6GB/128GB,Samsung,3.300.000₫,https://cdn.tgdd.vn/Products/Images/42/335234/samsung-galaxy-a06-5g-black-thumbn-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb
Xiaomi 15T Pro 5G 12GB/512GB,Xiaomi,15.990.000₫,https://cdn.tgdd.vn/Products/Images/42/356739/xiaomi-15t-pro-5g-12gb-512gb-den-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-15t-pro-5g-12gb-512gb
OPPO A6t 4GB/64GB,OPPO,4.390.000₫,https://cdn.tgdd.vn/Products/Images/42/361191/oppo-a6t-4gb-64gb-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-a6t-4gb-64gb
vivo V50 Lite 5G 8GB/256GB,vivo,7.810.000₫,https://cdn.tgdd.vn/Products/Images/42/336408/vivo-v50-lite-gold-5g-thumbai-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-v50-lite-5g?utm_flashsale=1
Samsung Galaxy A07 4GB/64GB,Samsung,2.790.000₫,https://cdn.tgdd.vn/Products/Images/42/341802/samsung-galaxy-a07-violet-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-a07-4gb-64gb
Samsung Galaxy A17 4GB/128GB,Samsung,4.590.000₫,https://cdn.tgdd.vn/Products/Images/42/341797/samsung-galaxy-a17-lte-xam-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-a17-4gb-128gb?utm_flashsale=1
Nokia 105 4G Pro,Nokia,750.000₫,https://cdn.tgdd.vn/Products/Images/42/311033/nokia-105-4g-den-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/nokia-105-4g-pro
OPPO A6 8GB/128GB,OPPO,8.090.000₫,https://cdn.tgdd.vn/Products/Images/42/363217/oppo-a6-8gb-128gb-xanh-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-a6-8gb-128gb
Masstel IZI 10 4G Type-C,Unknown,430.000₫,https://cdn.tgdd.vn/Products/Images/42/342939/masstel-izi-10-xanh-600x600.jpg,https://www.thegioididong.com/dtdd/masstel-izi-10-type-c
realme Note 80 4GB/64GB,realme,3.790.000₫,https://cdn.tgdd.vn/Products/Images/42/363437/realme-note-80-4gb-64gb-thumb-den-600x600.jpg,https://www.thegioididong.com/dtdd/realme-note-80-4gb-64gb
